,Man,Monkey,Dog,Horse,Donkev,Pig,Rabbit,Kangaroo,Pekin duck,Pigeon,Chicken,King penguin,Snapping turtle,Rattlesnake,Tuna,Screwworm fly,Moth,Neurospora,Saccharomyces,Candida
Man,0,1,13,15,15,13,11,14,15,15,16,16,17,29,29,30,33,64,62,68
Monkey,,0,12,15,14,12,11,13,15,14,15,15,16,28,29,29,32,63,61,67
Dog,,,0,9,8,6,7,8,13,13,13,14,15,26,27,27,30,61,59,65
Horse,,,,0,1,5,10,11,15,15,16,16,17,29,29,30,33,64,62,68
Donkev,,,,,0,4,9,10,14,14,15,15,16,28,28,29,32,63,61,67
Pig,,,,,,0,7,8,13,12,13,13,14,26,27,27,30,61,59,65
Rabbit,,,,,,,0,7,11,11,12,12,13,24,25,25,29,60,57,63
Kangaroo,,,,,,,,0,13,13,14,14,15,27,27,28,31,62,60,66
Pekin duck,,,,,,,,,0,3,3,3,8,26,27,27,30,61,59,65
Pigeon,,,,,,,,,,0,4,4,8,26,27,27,30,61,59,65
Chicken,,,,,,,,,,,0,2,9,27,27,28,31,62,60,66
King penguin,,,,,,,,,,,,0,9,27,27,28,31,62,60,66
Snapping turtle,,,,,,,,,,,,,0,28,29,29,32,63,61,67
Rattlesnake,,,,,,,,,,,,,,0,33,34,37,68,66,72
Tuna,,,,,,,,,,,,,,,0,35,38,69,67,73
Screwworm fly,,,,,,,,,,,,,,,,0,16,59,56,63
Moth,,,,,,,,,,,,,,,,,0,62,60,66
Neurospora,,,,,,,,,,,,,,,,,,0,56,62
Saccharomyces,,,,,,,,,,,,,,,,,,,0,41
Candida,,,,,,,,,,,,,,,,,,,,0
